gene,CARCASMEAN,GUTMEAN,SIG,PARA ,ORTHO,lethaltc,TRANS,HUMAN
gene144,42.3808,39.0714,0,3,547,0,0,0
CUFF.24,52.8975,55.73,0,2,172,0,0,0
gene152,30.5125,43.7017,1,2,15,0,12,0
gene123,68.6106,105.508,1,1,178,0,4,0
gene146,21.2201,51.5329,1,0,97,0,14,0
gene147,18.6367,28.494,1,0,6,0,15,0
gene117,17.1346,16.6482,0,1,297,0,0,0
CUFF.21,35.7662,35.1088,0,0,121,0,0,0
gene114,27.8027,30.9558,0,2,217,0,0,0
CUFF.40,26.8178,8.14845,1,2,217,0,0,0
gene153,35.234,37.4157,0,0,186,0,0,0
gene151,22.3105,14.5754,1,0,66,0,0,0
gene111,0.0945796,0.198379,0,0,141,0,0,0
gene113,22.0332,30.2898,0,1,312,0,0,0
gene132,43.8658,24.3544,1,0,131,0,0,0
gene148,528.415,4.79294,1,1,192,0,0,0
CUFF.26,14.7616,8.80041,1,0,2,0,0,0
gene150,79.3442,141.634,1,0,6,0,4,0
CUFF.25,16.5754,18.0746,0,0,6,0,0,0
gene133,9.89469,12.5597,0,0,2,0,0,0
gene118,0.575227,0.757979,0,0,154,0,0,0
gene137,0.0907272,0.144517,0,0,142,0,0,0
gene161,8.3324,2.61989,1,0,159,0,0,0
gene185,69.4793,75.5566,0,0,141,0,0,0
gene232,2.63075,2.34344,0,1,262,0,0,0
gene243,6.14497,7.1745,0,0,3,0,0,0
gene187,43.4758,27.7371,1,1,432,0,0,0
gene193,0.00495029,0,0,0,93,0,0,0
gene202,4.31773,0.492661,1,3,51,0,0,0
gene169,10.8698,19.0336,1,1,15,0,12,0
gene227,403.939,489.017,0,0,138,0,0,0
gene156,2.6027,3.83552,0,1,12,0,0,0
gene218,47.9868,22.9114,1,0,4,0,0,0
gene192,2189.4,2292.9,0,0,102,0,0,0
CUFF.28,5.9672,4.72282,0,0,151,0,0,0
gene236,32.7347,69.5164,1,0,8,0,12,0
gene205,2695.89,2785.94,0,1,287,0,0,0
gene166,0.029442,0.092298,0,0,164,0,0,0
gene222,916.815,62.5072,1,0,2,0,0,0
gene162,0.152568,0.496554,0,0,161,0,0,0
gene219,6.74732,48.0528,1,0,187,0,10,0
gene178,24.0206,36.7804,0,0,6,0,0,0
gene210,0.105417,0.0481542,0,4,1108,0,0,0
gene237,71.7544,108.117,1,37,689,0,3,0
gene195,10.1275,0.0850324,1,0,6,0,0,0
CUFF.27,20.3564,23.2042,0,0,117,0,0,0
gene181,6.69186,8.40892,0,0,2,0,0,0
gene194,25.6221,0.454443,1,0,147,0,0,0
gene229,0,0,0,3,81,0,0,0
gene184,20.1122,16.2712,0,7,155,0,0,0
gene212,11.804,2.37259,1,0,138,0,0,0
gene160,66.0519,82.5395,0,3,81,0,0,0
gene158,52.4692,85.9521,1,21,743,0,18,0
gene240,412.75,577.909,0,0,8,0,0,0
gene196,26.1104,6.45003,1,0,5,0,0,0
CUFF.35,37.3907,29.016,0,0,149,0,0,0
gene203,56.9617,70.9565,0,0,179,0,0,0
gene183,4.09879,5.20893,0,0,241,0,0,0
CUFF.29,3.41574,0.689507,1,3,81,0,0,0
gene173,33.9086,25.8935,0,0,124,0,0,0
gene241,24.5359,17.8746,0,0,157,0,0,0
gene188,357.269,247.016,0,0,6,0,0,0
gene215,0,0,0,0,120,0,0,0
gene211,1.23582,1.388,0,0,123,0,0,0
gene179,19.1414,12.3746,1,1,308,0,0,0
gene223,82.0674,76.9494,0,0,169,0,0,0
gene163,23.7091,13.297,0,1,7,0,0,0
gene191,11.4655,11.544,0,0,2,0,0,0
gene159,2315.59,2457.62,0,0,149,0,0,0
gene233,299.49,300.506,0,4,1108,0,0,0
gene198,180.341,204.753,0,7,543,0,0,0
gene164,43.3722,75.4287,1,0,265,0,5,0
gene200,16.9585,0.462933,1,0,146,0,0,0
gene168,26.7875,33.334,0,0,11,0,0,0
gene209,1.37636,0.656775,0,0,158,0,0,0
gene174,51.0926,183.957,1,0,5,0,15,0
gene214,2.34174,1.98038,0,0,4,0,0,0
gene216,2.98174,2.45664,0,0,166,0,0,0
gene238,43.6216,45.1821,0,0,4,0,0,0
gene213,0,0,0,0,172,0,0,0
gene224,20.5453,28.422,0,38,1469,0,0,0
gene167,1.50449,38.4519,1,0,7,0,14,0
gene242,8.86118,3.39394,1,1,321,0,0,0
CUFF.23,68.6804,137.93,1,4,7,0,46,0
gene165,51.2275,67.5023,0,0,146,0,0,0
gene186,4.84762,5.74457,0,0,19,0,0,0
gene182,1.82772,0.233748,1,0,141,0,0,0
gene172,29.669,35.2616,0,0,154,0,0,0
gene231,36.7426,31.8318,0,0,160,0,0,0
gene226,150.456,182.387,0,0,142,0,0,0
CUFF.73,79.6042,50.6087,1,0,6,0,0,0
gene228,2.95688,0.0289543,0,1,151,0,0,0
gene207,14.8847,19.1112,0,2,336,0,0,0
gene217,0.0316653,0.0186952,0,0,155,0,0,0
gene235,200.949,287.773,0,0,178,0,0,0
gene180,40.7743,54.5129,0,21,743,0,0,0
gene206,76.6224,80.0887,0,0,6,0,0,0
gene204,10.6914,15.0838,0,0,2,0,0,0
gene170,0.401561,0.695417,0,0,171,0,0,0
gene189,31.586,53.2818,1,0,153,0,13,0
gene239,0.0264785,0,0,7,155,0,0,0
CUFF.36,73.4999,38.8827,1,0,6,0,0,0
gene244,0.560266,1.01075,0,3,202,0,0,0
gene252,0.258584,0.179089,0,0,155,0,0,0
gene261,0.283417,0.234856,0,0,5,0,0,0
gene253,26.0512,18.3153,1,1,275,0,0,0
gene245,28.6639,23.8399,0,1,148,0,0,0
gene249,3.37815,3.18462,0,0,6,0,0,0
gene262,6.39845,0.739013,1,1,50,0,0,0
CUFF.30,1.14281,0.160779,1,0,7,0,0,0
gene260,28.5679,8.63332,1,1,177,0,0,0
gene256,0.237853,0.0261921,0,1,242,0,0,0
gene263,0,0.00361459,0,0,163,0,0,0
gene266,0,0,0,0,6,0,0,0
gene268,0,0,0,1,216,0,0,0
gene272,0.00357519,0.00698805,0,0,6,0,0,0
gene270,0,0,0,0,2,0,0,0
gene274,3.04223,2.07785,0,0,2,0,0,0
gene276,0.00780111,0,0,5,90,0,0,0
gene278,0.0350356,0.0805371,0,131,1043,0,0,0
gene277,0.023588,0.00834654,0,1,3,0,0,0
gene279,0.121222,0.0947102,0,0,3,0,0,0
gene283,0.0105773,0.00337859,0,45,852,0,0,0
gene280,0.0688241,0.0877021,0,72,1461,0,0,0
gene281,0,0,0,0,37,0,0,0
gene285,11.5204,10.7451,0,115,1322,0,0,0
gene288,4.76247,4.58926,0,0,2,0,0,0
CUFF.34,0.47561,0.413341,0,224,9884,0,0,0
gene286,94.3119,133.042,0,1,30,0,0,0
gene284,0.137102,0.636169,1,1,6,0,30,0
gene290,79.1112,16.5716,1,13,383,0,0,0
gene289,0.0402721,0.072478,0,3,312,0,0,0
gene291,0.556191,0.751879,0,0,2,0,0,0
gene293,0.189832,0.214707,0,0,150,0,0,0
gene292,0,0,0,13,383,0,0,0
CUFF.33,0.769265,0.830156,0,0,110,0,0,0
gene296,0.135219,0.118784,0,0,2,0,0,0
gene295,0,0.0782837,0,1,3,0,0,0
gene297,0,0,0,4,21,0,0,0
gene302,0,0.0344743,0,8,524,0,0,0
gene299,0,0,0,0,2,0,0,0
gene300,0,0.0355616,0,0,2,0,0,0
gene303,0.0303598,0.01084,0,0,2,0,0,0
gene301,0.00346945,0.0034957,0,115,1322,0,0,0
gene304,1.0685,1.28475,0,0,6,0,0,0
gene306,0,0.146799,0,0,2,0,0,0
gene312,0.398473,0.581372,0,0,3,0,0,0
gene336,41.0228,14.2742,1,32,1089,0,0,0
CUFF.41,4.56478,2.80776,0,224,9884,0,0,0
CUFF.43,45.7973,41.01,0,4,114,0,0,0
gene315,28.0654,13.1634,1,0,2,0,0,0
gene318,1.91145,1.00264,0,5,16,0,0,0
gene342,135.008,19.965,1,0,79,0,0,0
gene332,97.8102,27.6278,1,0,6,0,0,0
gene340,126.609,154.35,0,1,317,0,0,0
gene344,4.97652,0.80205,1,0,165,0,0,0
gene343,18.1863,4.33934,1,3,34,0,0,0
CUFF.44,3.38532,0.507363,1,5,412,0,0,0
gene313,8.81771,8.26007,0,1,302,0,0,0
gene319,3.06849,1.56469,0,0,150,0,0,0
gene308,1174.06,1302.69,0,2,30,0,0,0
CUFF.37,116.107,116.49,0,0,197,0,0,0
gene309,2112.43,2579.18,0,1,223,0,0,0
gene341,24.1215,3.80026,1,0,6,0,0,0
CUFF.47,65.7528,77.9021,0,0,25,0,0,0
gene335,174.683,602.879,1,1,152,0,9,0
gene317,44.4931,73.7333,1,0,164,0,12,1
gene346,0,0,0,1,24,0,0,0
gene347,0.00538963,0,0,1,161,0,0,0
gene348,137.026,240.449,1,0,161,0,9,0
gene351,15.5843,11.1309,0,1,293,0,0,0
gene350,0.229755,0.216673,0,0,224,0,0,0
gene349,0.0521797,0.00654056,0,0,156,0,0,0
gene353,33.7876,36.3916,0,1,161,0,0,0
gene352,20.0699,18.5295,0,11,36,0,0,0
gene356,0.301431,0.718667,1,72,1461,0,19,1
gene355,0.0421955,0.067971,0,1,281,0,0,0
gene354,0,0,0,0,7,0,0,0
gene359,0,0.0243678,0,0,6,0,0,0
gene358,0.0980559,0,0,30,2344,0,0,0
gene364,0,0,0,2,76,0,0,0
gene365,0.0612807,0.0336248,0,0,146,0,0,0
gene368,0.428398,0.517964,0,2,375,0,0,0
gene367,0.0115566,0.0382097,0,3,176,0,0,0
CUFF.42,2.17758,2.24934,0,0,2,0,0,0
gene371,0,0,0,1,14,0,0,0
gene370,0.036046,0.116159,0,0,2,0,0,0
gene372,0.0612701,0.135863,0,0,4,0,0,0
gene373,0.0127917,0.0134558,0,3,181,0,0,0
gene395,1.79165,1.33437,0,3,195,0,0,0
gene374,34.856,5.41569,1,0,2,0,0,0
gene382,71.6323,100.255,0,0,7,0,0,0
gene391,38.7855,44.425,0,0,2,0,0,0
gene388,20.5249,8.54804,1,2,7,0,0,0
gene384,3.31667,0.424281,1,1,4,0,0,0
gene375,15.638,15.1217,0,0,2,0,0,0
gene380,15.1009,18.3373,0,2,60,0,0,0
gene379,0.0159482,0.0127931,0,2,462,0,0,0
gene394,2.89965,38.1709,1,0,10,0,26,0
gene390,41.3319,64.7404,1,1,162,0,10,0
gene378,3.65947,4.24351,0,0,142,0,0,0
gene387,62.4708,43.2016,1,0,2,0,0,0
gene383,17.808,6.59407,1,0,162,0,0,0
gene377,29.7787,18.1834,1,0,143,0,0,0
gene385,0.0831661,0.0299914,0,0,5,0,0,0
gene376,35.0228,41.7708,0,16,987,0,0,0
gene381,25.0191,27.4659,0,2,481,0,0,0
CUFF.45,16.1243,13.2488,0,2,521,0,0,0
gene393,7.83599,12.6039,0,0,161,0,0,0
gene392,415.293,710.839,1,0,146,0,9,0
gene397,0.0408825,0.0195343,0,0,133,0,0,0
gene396,0.0152487,0,0,0,158,0,0,0
gene399,0.258374,0.303989,0,0,89,0,0,0
gene398,0,0,0,0,67,0,0,0
gene400,4.9827,0.361314,1,1,157,0,0,0
gene401,12.0319,16.753,0,0,5,0,0,0
gene406,0.177924,0.209643,0,0,117,0,0,0
gene408,0.00978981,0.00914114,0,0,419,0,0,0
gene410,0,0,0,20,907,0,0,0
gene407,0.0538207,0,0,3,16,0,0,0
gene412,0.186624,0.359874,0,1,32,0,0,0
gene417,0,0,0,0,230,0,0,0
gene415,0,0,0,0,172,0,0,0
gene411,0.540264,2.18057,1,224,9884,0,12,0
gene416,0.00965924,0,0,38,1469,0,0,0
gene420,0.130835,0,0,32,510,0,0,0
gene418,0,0,0,38,1469,0,0,0
gene423,90.5537,60.7459,1,0,7,0,0,0
gene422,1.62736,1.241,0,38,1469,0,0,0
gene421,0.166319,0.0575068,0,224,9884,0,0,0
gene426,7.3861,9.61167,0,0,2,0,0,0
gene428,10.7079,14.9972,0,224,9884,0,0,0
gene429,29.5972,66.1671,1,4,329,0,10,0
gene425,12.9872,14.2659,0,37,689,0,0,0
gene424,64.799,106.65,1,3,245,0,17,0
gene430,16.6259,27.6115,1,115,1322,0,5,0
gene427,42.9378,41.5344,0,11,623,0,0,0
gene431,0,0,0,0,149,0,0,0
gene443,0.0398882,0.00314276,0,1,294,0,0,0
gene457,16.9527,14.0927,0,0,131,0,0,0
gene466,0.157272,0.298258,0,1,36,0,0,0
gene456,18.3164,8.54769,1,1,324,0,0,0
CUFF.50,13.4448,14.4017,0,0,106,0,0,0
gene433,9.72285,11.3797,0,1,331,0,0,0
gene451,9.13915,7.43223,0,224,9884,0,0,0
gene438,3.17688,3.91837,0,2,132,0,0,0
gene458,52.2876,73.5271,0,1,3,0,0,0
gene454,19.0314,1.81639,1,1,107,0,0,0
gene450,40.4372,23.5762,1,0,89,0,0,0
gene449,13.818,14.4094,0,3,169,0,0,0
gene434,11.8014,17.4703,0,0,7,0,0,0
gene462,3.76671,0.897758,1,1,314,0,0,0
gene470,13.1478,26.2208,1,3,70,0,22,0
gene445,8.20973,9.75463,0,0,7,0,0,0
gene479,18.9209,25.5628,0,7,520,0,0,0
gene455,16.3029,1.40396,1,0,130,0,0,0
gene436,0.183834,0.0536429,0,1,138,0,0,0
gene447,8.15154,2.14325,1,0,8,0,0,0
gene459,2.8198,5.67084,1,0,166,0,12,0
gene446,19.1151,0.772353,1,0,152,0,0,0
gene465,24.4019,26.5161,0,5,1006,0,0,0
gene467,29.7877,41.3207,0,4,634,0,0,0
gene477,156.04,220.337,0,0,140,0,0,0
gene460,23.9734,27.0983,0,4,916,0,0,0
gene472,28.8213,24.2282,0,0,45,0,0,0
gene435,11.9988,16.5383,0,3,806,0,0,0
gene475,0.0371207,0.0417493,0,0,7,0,0,0
gene478,51.5787,61.7498,0,0,11,0,0,0
gene439,13.9257,15.7638,0,0,8,0,0,0
gene474,470.603,735.207,1,0,5,0,4,0
CUFF.52,6.30439,6.6519,0,0,172,0,0,0
gene461,56.6554,125.32,1,0,167,0,9,0
gene437,0.305647,0.262752,0,0,6,0,0,0
gene448,23.3387,5.0226,1,2,387,0,0,0
gene442,46.261,35.5692,0,2,172,0,0,0
gene471,2.20554,2.37068,0,0,150,0,0,0
gene444,6.4173,4.47948,0,0,2,0,0,0
gene453,0.351927,0.104225,0,0,6,0,0,0
gene476,9.31803,12.4186,0,0,6,0,0,0
gene473,40.8986,31.2076,0,0,143,0,0,0
CUFF.48,23.2195,23.6282,0,1,311,0,0,0
CUFF.55,11.7831,9.29101,0,0,169,0,0,0
gene481,19.5047,30.1351,1,5,473,0,12,0
gene480,4.43858,4.44185,0,1,304,0,0,0
gene482,11.6154,28.4834,1,0,7,0,6,0
gene484,0.561503,0.841735,0,0,153,0,0,0
gene485,27.2778,35.3613,0,1,305,0,0,0
gene487,0.771565,0.0792743,0,0,6,0,0,0
gene490,0.010628,0.00447513,0,0,6,0,0,0
gene489,0,0,0,0,7,0,0,0
gene488,0,0,0,1,359,0,0,0
gene495,81.6302,162.51,1,0,4,0,14,1
gene494,20.4396,21.7161,0,0,164,0,0,0
gene498,8.43574,5.62729,0,0,149,0,0,0
gene498,8.43574,5.62729,0,0,8,0,0,0
gene497,0.0063245,0.00608904,0,0,157,0,0,0
gene505,0,0,0,0,5,0,0,0
gene506,80.2694,1.95164,1,1,611,0,0,0
gene502,9.02492,12.3811,0,1,142,0,0,0
gene500,26.5015,27.5557,0,224,9884,0,0,0
gene501,23.9208,15.6815,1,45,1029,0,0,0
gene504,49.181,219.468,1,22,824,0,5,0
gene509,12.7272,12.7648,0,0,157,0,0,0
gene510,92.9359,169.901,1,0,2,0,5,0
gene516,0,0,0,3,312,0,0,0
gene512,0,0,0,0,2,0,0,0
gene513,0,0,0,2,8,0,0,0
gene511,0,0,0,2,8,0,0,0
gene515,0,0.0218638,0,12,692,0,0,0
gene518,1098.94,107.967,1,0,3,0,0,0
gene520,0.0068973,0.00545244,0,0,156,0,0,0
gene519,5.76432,0.808135,0,0,147,0,0,0
gene523,0.0180279,0.0184627,0,0,138,0,0,0
gene524,0.439159,0.278786,0,0,89,0,0,0
CUFF.62,9.50146,13.0288,0,0,163,0,0,0
gene550,41.5017,81.2727,1,2,171,0,3,0
gene553,31.1018,7.16251,1,0,144,0,0,0
gene568,6.80522,1.66776,1,1,3,0,0,0
CUFF.56,64.2634,74.2031,0,0,4,0,0,0
gene533,11.0453,15.1953,0,0,15,0,0,0
gene547,0.90219,0.929479,0,4,36,0,0,0
gene532,150.758,191.626,0,0,6,0,0,0
gene570,48.6857,47.8545,0,0,2,0,0,0
gene535,104.892,6.44383,1,1,356,0,0,0
gene574,5.4477,3.43412,0,0,6,0,0,0
gene555,5.47166,7.66314,0,0,20,0,0,0
gene563,132.591,11.2955,1,0,3,0,0,0
gene557,5.23536,109.396,1,3,457,0,3,0
gene564,2.28933,1.80704,0,0,150,0,0,0
gene543,24.822,21.5874,0,2,368,0,0,0
gene539,0.446401,0.0236127,0,1,99,0,0,0
gene531,20.3322,20.2652,0,0,160,0,0,0
gene558,0.0994873,0.286183,0,0,169,0,0,0
gene548,26.0976,1.90497,1,2,19,0,0,0
gene575,43.2216,141.065,1,0,162,0,12,0
CUFF.53,16.3289,22.785,0,0,132,0,0,0
gene571,13.1663,16.1404,0,0,6,0,0,0
gene567,11.5713,14.4999,0,0,87,0,0,0
gene572,31.1769,122.873,1,0,7,0,11,0
gene527,31.362,49.5046,0,0,155,0,0,0
gene556,0.0400045,0.136844,0,4,835,0,0,0
gene528,1172.22,1347.33,0,0,9,0,0,0
CUFF.58,12.7837,18.7759,0,7,1436,0,0,0
gene542,28.0765,26.0218,0,0,5,0,0,0
gene534,0.126237,0.819429,1,0,6,0,18,0
gene562,0.659925,0.171483,1,0,6,0,0,0
gene544,18.5142,35.2876,1,14,279,0,18,0
gene569,224.555,170.352,0,0,162,0,0,0
gene551,22.538,36.5385,1,0,6,0,16,0
gene526,16.3257,3.56058,0,0,6,0,0,0
gene566,17.6932,21.4931,0,0,138,0,0,0
gene554,1.54057,2.21246,0,0,191,0,0,0
gene552,29.2867,39.4232,0,0,128,0,0,0
CUFF.63,1.47094,0.923726,0,0,6,0,0,0
gene541,5.89829,6.72619,0,0,255,0,0,0
gene559,34.8663,47.1745,0,0,144,0,0,0
gene540,13.5933,22.6601,1,1,336,0,6,0
gene537,10.9282,11.161,0,0,6,0,0,0
CUFF.57,14.1428,31.0888,1,0,400,0,64,0
gene577,0.118025,0.0305884,0,17,793,0,0,0
gene578,0,0,0,1,99,0,0,0
gene580,0,0,0,2,217,0,0,0
gene582,0,0,0,0,200,0,0,0
gene581,181.163,28.7225,1,1,166,0,0,0
gene583,0.329803,0.508609,0,0,128,0,0,0
gene585,0,0,0,0,153,0,0,0
gene586,0.979651,0.768714,0,0,206,0,0,0
gene587,41.7264,43.6804,0,0,98,0,0,0
gene591,0.510199,0.656717,0,0,7,0,0,0
gene588,694.387,850.59,0,0,240,0,0,0
gene589,35.6005,78.2647,1,0,140,0,20,0
gene594,0,0,0,0,143,0,0,0
gene593,0.020116,0.0098078,0,0,1072,0,0,0
gene595,0.00293094,0.00275952,0,9,994,0,0,0
gene601,13.8514,1.8909,1,0,2,0,0,0
gene602,0.264708,0.0823699,0,115,1322,0,0,0
gene600,41.3145,57.3102,0,1,427,0,0,0
gene603,11.3552,8.18868,0,25,1040,0,0,0
gene604,0,0,0,0,35,0,0,0
gene605,0,0.00766714,0,2,164,0,0,0
gene608,0.342207,0.840917,0,0,111,0,0,0
gene606,0,0.0128522,0,8,25,0,0,0
gene641,4.29479,3.67568,0,0,220,0,0,0
gene613,9.50234,81.4041,1,0,502,0,15,0
gene623,37.962,42.9763,0,224,9884,0,0,0
gene645,0.261819,0.539397,0,0,24,0,0,0
gene636,29.4216,16.2535,1,224,9884,0,0,0
CUFF.70,41.7643,16.1434,1,0,8,0,0,0
gene640,0.0338941,0.0264238,0,38,1469,0,0,0
CUFF.65,10.7671,4.22006,1,2,173,0,0,0
gene647,0,0,0,0,38,0,0,0
gene635,136.907,183.495,0,0,144,0,0,0
gene634,66.4104,62.1589,0,0,154,0,0,0
gene652,35.2059,34.0746,0,0,2,0,0,0
gene609,0.0568723,0.0191518,0,0,6,0,0,0
CUFF.67,4.38513,0.97817,1,45,852,0,0,0
gene637,347.565,140.502,1,11,623,0,0,0
gene642,0.167174,0.176968,0,1,66,0,0,0
gene631,18.5323,19.2655,0,1,344,0,0,0
gene653,60.5,76.2734,0,0,136,0,0,0
gene648,986.01,85.1589,1,0,7,0,0,0
gene611,14.6646,0.822346,1,0,160,0,0,0
gene649,234.015,358.145,1,0,168,0,5,0
gene632,15.1692,16.2489,0,0,5,0,0,0
gene617,437.631,547.093,0,0,6,0,0,0
gene644,1.77251,204.364,1,0,7,0,14,0
gene654,4.97781,7.73648,0,0,154,0,0,0
gene610,0,0,0,0,247,0,0,0
gene621,26.2148,37.2528,0,0,162,0,0,0
gene624,30.7545,40.1924,0,1,140,0,0,0
gene651,545.932,866.918,1,1,170,0,3,0
gene618,26.6622,242.506,1,0,158,0,14,0
gene643,0.11367,1.00615,1,0,7,0,3,0
CUFF.67,4.38513,0.97817,1,0,94,0,0,0
gene625,17.5,22.6402,0,3,178,0,0,0
gene650,11.7027,17.7258,0,0,166,0,0,0
gene612,2.0229,0.425345,1,1,140,0,0,0
gene633,796.366,90.9765,1,4,168,0,0,0
CUFF.61,33.3892,39.6117,0,0,179,0,0,0
gene622,75.0267,96.513,0,2,322,0,0,0
gene630,2.59165,6.96147,1,0,121,0,16,0
gene619,0,1028.19,0,0,8,0,0,0
gene655,0.259736,0.382084,0,20,359,0,0,0
gene657,0,0,0,0,139,0,0,0
gene656,0,0,0,0,6,0,0,0
gene659,0.102718,0.131997,0,0,6,0,0,0
gene660,94.1713,35.2328,1,0,109,0,0,0
gene661,0.233419,0.153308,0,0,173,0,0,0
gene662,0.220918,0.0240496,0,2,186,0,0,0
gene664,0.0279271,0.0636664,0,0,6,0,0,0
gene665,0.102415,0.172591,0,1,170,0,0,0
gene667,0,0,0,1,386,0,0,0
